Column1,Room Type,Monthly Rent,County,State
224,3br,1294.0,Madison County,IL
225,2br,2144.0,Los Angeles County,CA
226,,590.0,Mason County,WV
227,4br,2575.0,Anchorage Municipality,AK
228,3br,1864.0,Cook County,IL
229,studio,418.0,Stoddard County,MO
230,3br,1785.0,Clark County,NV
231,4br,1303.0,Nash County,NC
232,1br,734.0,Shasta County,CA
233,studio,524.0,Summit County,OH
234,studio,1383.0,Multnomah County,
235,2br,1632.0,Bristol County,
236,4br,2752.0,Boulder County,CO
237,3br,1773.0,Maricopa County,AZ
238,studio,766.0,Douglas County,
239,4br,2564.0,Ocean County,NJ
240,4br,1220.0,Randolph County,NC
241,studio,661.0,Montgomery County,TN
242,3br,3177.0,Bronx County,NY
243,,1612.0,Nassau County,NY
244,3br,1.844,Riverside County,CA
245,2br,1441.0,Maricopa County,AZ
246,studio,579.0,Pottawatomie County,OK
247,1br,766.0,Calhoun County,MI
248,2br,2.559,Middlesex County,MA
249,3br,3312.0,Orange County,CA
250,2br,2130.0,Hunterdon County,NJ
251,3br,1002.0,Oneida County,
252,4br,3219.0,Solano County,CA
253,4br,2158.0,Seminole County,FL
254,studio,956.0,Worcester County,MA
255,,1128.0,Cheboygan County,MI
256,1br,951.0,Orange County,NC
257,1br,735.0,Kootenai County,ID
258,3br,2970.0,Los Angeles County,CA
259,4br,1768.0,Weber County,UT
260,studio,639.0,Duval County,FL
261,4br,2035.0,Maricopa County,AZ
262,4br,2029.0,Cook County,IL
263,studio,1953.0,San Mateo County,CA
264,3br,1405.0,Cuyahoga County,OH
265,2br,914.0,Hardin County,KY
266,1br,1301.0,Worcester County,
267,3br,1206.0,Madison County,TN
268,studio,729.0,El Paso County,CO
269,3br,2942.0,San Luis Obispo County,CA
270,4br,1560.0,Monongalia County,WV
271,1br,865.0,Brevard County,FL
272,1br,538.0,Logan County,IL
273,4br,1308.0,Nolan County,
274,3br,1899.0,Palm Beach County,FL
275,1br,751.0,Polk County,FL
276,3br,1602.0,Union County,NC
277,2br,1436.0,San Bernardino County,CA
278,3br,1841.0,Carroll County,MD
279,1br,895.0,Morgan County,UT
280,3br,2410.0,Fairfield County,CT
281,3br,1081.0,Frederick County,VA
282,2br,873.0,Kalamazoo County,MI
283,3br,1524.0,Baltimore County,MD
284,1br,889.0,Bexar County,TX
285,,2071.0,Bronx County,NY
286,4br,1659.0,Ector County,TX
287,studio,476.0,Manitowoc County,WI
288,studio,675.0,Washington County,MN
289,studio,1755.0,Los Angeles County,CA
290,,1031.0,Trumbull County,OH
291,,491.0,Starke County,IN
292,3br,2318.0,Jefferson County,CO
293,2br,1277.0,Clark County,NV
294,2br,877.0,Fond du Lac County,
295,1br,686.0,Daviess County,KY
296,studio,966.0,Fort Bend County,TX
297,,3189.0,New York County,NY
298,studio,486.0,Coahoma County,MS
299,3br,927.0,Ritchie County,WV
300,1br,629.0,Logan County,
301,1br,811.0,Douglas County,OR
302,,2132.0,Santa Clara County,CA
303,4br,1071.0,Shiawassee County,MI
304,4br,3032.0,Ocean County,NJ
305,4br,1919.0,Rockdale County,GA
306,3br,1215.0,Luzerne County,PA
307,4br,1802.0,St. Johns County,FL
308,3br,2309.0,Jefferson County,CO
309,3br,1053.0,Ohio County,WV
310,1br,830.0,Laramie County,
311,studio,808.0,Bexar County,TX
312,4br,2657.0,Fairbanks North Star Borough,AK
313,3br,2747.0,Fairfax County,
314,studio,656.0,Wyandotte County,KS
315,3br,1660.0,Harris County,TX
316,4br,2207.0,Will County,IL
317,1br,1012.0,Hillsborough County,
318,studio,746.0,Guilford County,NC
319,,1491.0,Kings County,NY
320,4br,2134.0,Cook County,IL
321,3br,1331.0,Santa Rosa County,FL
322,2br,879.0,Trumbull County,OH
323,3br,2002.0,Hennepin County,MN
324,3br,1213.0,Franklin County,OH
325,studio,765.0,Duval County,FL
326,,1413.0,Los Angeles County,CA
327,studio,1018.0,Chatham County,GA
328,,1185.0,Monterey County,CA
329,,1768.0,Delaware County,PA
330,4br,3865.0,Orange County,CA
331,1br,2272.0,Middlesex County,MA
332,2br,878.0,Fresno County,CA
333,4br,1033.0,Jackson County,
334,1br,700.0,Sandoval County,NM
335,1br,798.0,Walton County,FL
336,3br,1273.0,Wake County,NC
337,,700.0,El Paso County,
338,studio,766.0,New Hanover County,NC
339,,697.0,Muskogee County,OK
340,3br,3457.0,Orange Cownty,CA
341,2br,1060.0,Dauphin County,PA
342,studio,519.0,Williams County,OH
343,,2421.0,Queens County,
344,1br,1102.0,Ramsey County,MN
345,1br,784.0,Monroe County,NY
346,1br,1152.0,Harris County,TX
347,4br,2432.0,District of Columbia,DC
348,,971.0,Calumet County,WI
349,2br,2073.0,Monterey County,
350,4br,1009.0,Houston County,
351,studio,690.0,Niagara County,NY
352,2br,2272.0,Charles County,
353,1br,698.0,Minnehaha County,SD
354,4br,1934.0,Maricopa County,
355,1br,1135.0,Davidson County,TN
356,studio,775.0,Johnson County,KS
357,,806.0,Salt Lake County,
358,1br,636.0,Tulsa County,
359,studio,903.0,Cabarrus County,NC
360,4br,2299.0,Williamson County,TX
361,4br,3012.0,Queens County,NY
362,3br,1297.0,Waukesha County,WI
363,1br,679.0,Cuyahoga County,OH
364,studio,585.0,LaPorte County,IN
365,2br,1265.0,Wilson County,TN
366,studio,461.0,Oakland County,MI
367,studio,513.0,Traverse County,MN
368,studio,827.0,Hennepin County,MN
369,3br,1066.0,Luzerne County,PA
370,2br,777.0,St. Joseph County,
371,,1696.0,Lake County,
372,4br,1436.0,Hamilton County,
373,1br,1679.0,Alexandria city,VA
374,studio,1782.0,Kings County,NY
375,3br,946.0,Todd County,
376,2br,1208.0,Imperial County,CA
377,2br,667.0,Mercer County,WV
378,1br,882.0,Marion County,IN
379,,679.0,St. Louis County,MN
380,4br,1251.0,Fountain County,IN
381,2br,638.0,Ohio County,KY
382,,526.0,Buchanan County,MO
383,1br,889.0,Henrico County,VA
384,,1428.0,Kane County,IL
385,studio,994.0,Lake County,FL
386,4br,1168.0,Rapides Parish,LA
387,3br,1366.0,Franklin County,OH
388,4br,1568.0,Livingston Parish,LA
389,4br,794.0,Crawford County,OH
390,3br,1198.0,Fayette County,
391,studio,2053.0,Queens County,NY
392,2br,1242.0,Clark County,NV
393,studio,673.0,Westmoreland County,
394,4br,1518.0,Clay County,MN
395,,651.0,Oklahoma County,OK
396,1br,480.0,Taylor Comnty,
397,studio,1995.0,Kings County,NY
398,studio,1019.0,Gloucester County,VA
399,2br,1129.0,Mendocino County,CA
400,3br,2646.0,Los Angeles County,CA
401,2br,1599.0,Coo kCounty,IL
402,3br,1128.0,Saratoga County,NY
403,2br,1077.0,Providence County,RI
404,,1448.0,Prince George's County,MD
405,2br,1369.0,Galveston County,TX
406,3br,3392.0,Alameda County,CA
407,3br,1312.0,Pulaski County,AR
408,1br,0.948,Riverside County,CA
409,1br,933.0,DeKalb County,
410,3br,1414.0,DeKalb County,IL
411,2br,1408.0,Clackamas County,OR
412,,1667.0,Philadelphia County,PA
413,3br,1426.0,Philadelphia County,PA
414,4br,1588.0,Surry Ceounty,VA
415,studio,1940.0,New York County,NY
416,2br,816.0,Lucas County,OH
417,3br,1937.0,El Paso County,CO
418,2br,789.0,Trumbull County,OH
419,1br,783.0,Aiken County,SC
420,2br,1219.0,Orange County,FL
421,studio,913.0,Harris County,TX
422,,1774.0,Washington County,UT
423,studio,1303.0,Newton County,
424,4br,1685.0,Gallatin County,
425,4br,2120.0,New Haven County,CT
426,,679.0,Tulsa County,OK
427,1br,570.0,Hamilton County,FL
428,studio,775.0,Utah County,UT
429,2br,886.0,Hamilton County,TN
430,2br,1231.0,Salt Lake County,UT
431,studio,1056.0,DuPage County,
432,,551.0,Pontotoc County,OK
433,4br,3295.0,Orange County,
434,4br,1996.0,Bexor County,TX
435,,615.0,Neosho County,KS
436,3br,1143.0,Outagamie County,WI
437,4br,1318.0,Waukesha County,WI
438,studio,772.0,Allegheny County,PA
439,3br,2216.0,Riverside County,
440,studio,430.0,Carroll County,VA
441,studio,417.0,Jeff Davis County,GA
442,3br,1428.0,Lake County,FL
443,1br,1566.0,Los Angeles County,CA
444,3br,1327.0,St. Joseph County,
445,2br,848.0,Hamilton County,TN
446,studio,720.0,Wright County,
447,,845.0,Davidson County,TN
448,4br,3948.0,Santa Barbara County,CA
449,2br,1230.0,Okaloosa County,FL
450,1br,696.0,Calhoun County,MI
451,,1419.0,Philadelphia County,PA
452,1br,1394.0,New Haven County,CT
453,1br,1948.0,Fairfield County,CT
454,studio,535.0,Adams County,OH
455,1br,794.0,Macomb County,MI
456,1br,715.0,Lackawanna County,PA
457,1br,723.0,Erie County,NY
458,1br,1723.0,Queens County,NY
459,3br,1303.0,Harrisonburg city,VA
460,3br,1519.0,Cook County,IL
461,studio,467.0,Brown County,TX
462,2br,1873.0,Arapahoe County,
463,,1558.0,Alameda County,CA
464,4br,1214.0,Harrison County,WV
465,4br,3375.0,Orange County,CA
466,studio,731.0,San Patricio County,TX
467,3br,2557.0,Bronx County,NY
468,1br,1447.0,Prince William County,VA
469,3br,1301.0,Bexar County,
470,4br,1278.0,Linn County,IA
471,2br,1153.0,Fulton County,GA
472,3br,1683.0,Virginia Beach city,VA
473,1br,511.0,Oxford County,ME
474,,1836.0,Scott County,
475,3br,1796.0,Weld County,CO
476,2br,1170.0,Montgomery County,TN
477,,1686.0,St. Mary Parish,LA
478,,918.0,Fort Bend County,TX
479,studio,1048.0,Montgomery County,PA
480,,441.0,Sanilac County,MI
481,3br,1161.0,Allegheny County,PA
482,4br,1123.0,Polk County,TX
483,3br,1396.0,Rutland County,VT
484,studio,812.0,Nueces County,TX
485,1br,1014.0,Maricopa County,AZ
486,2br,648.0,Itawamba County,MS
487,2br,848.0,Rockingham County,NC
488,4br,1654.0,Tulsa County,
489,1br,541.0,Coffee County,AL
490,,621.0,Hidalgo County,TX
491,3br,2217.0,Rockland County,NY
492,3br,1356.0,Shelby County,TN
493,2br,1198.0,Fort Bend County,TX
494,4br,1971.0,Montgomery County,TX
495,4br,3123.0,Los Angeles Cnunty,CA
496,3br,2951.0,Sonoma County,CA
497,1br,1857.0,Arlington County,VA
498,3br,3698.0,Essex County,MA
499,2br,1425.0,Sarasota County,FL
500,1br,1119.0,Bucks County,PA
501,1br,857.0,Jackson County,MO
502,studio,759.0,Ontario County,NY
503,3br,2666.0,King County,WA
504,1br,1173.0,El Dorado County,CA
505,2br,1026.0,Barry County,MI
506,4br,2700.0,Bergen County,NJ
507,3br,1202.0,Hamilton County,TN
508,1br,2010.0,Orange County,CA
509,3br,3525.0,Los Angeles County,CA
510,4br,1853.0,Hartford County,CT
511,2br,1138.0,Wayne County,MI
512,2br,1552.0,Jefferson County,CO
513,3br,1957.0,Lae County,IL
514,1br,666.0,Door County,WI
515,studio,742.0,Penobscot County,
516,4br,2782.0,Bergen County,NJ
517,3br,1009.0,Pittsylvania County,VA
518,4br,2168.0,Sumner County,TN
519,,1867.0,Monterey County,CA
520,4br,1954.0,Maricopa County,AZ
521,studio,818.0,Dallas County,TX
522,2br,1945.0,Los Angeles County,CA
523,2br,2650.0,Orange County,CA
524,4br,1448.0,Lake Count,SD
525,1br,1534.0,Fairfax County,VA
526,,1872.0,Williamson County,TX
527,studio,1042.0,Henderson County,NC
528,studio,706.0,Franklin County,OH
529,studio,457.0,Cuming County,NE
530,3br,1770.0,Routt County,CO
531,2br,1821.0,Pierce County,WA
532,4br,4829.0,San Francisco County,CA
533,2br,764.0,Westmoreland County,
534,4br,4991.0,Santa Clara County,CA
535,2br,2218.0,Orange County,CA
536,3br,1857.0,Anoka County,MN
537,3br,1044.0,Greene County,GA
538,,1117.0,Arenac County,MI
539,,892.0,Alamance County,NC
540,2br,1325.0,Cumberland County,NJ
541,3br,1180.0,Monroe County,MI
542,,3524.0,Fairfield County,CT
543,3br,1471.0,Utah County,UT
544,studio,650.0,Hamilton County,IN
545,studio,717.0,Bexar County,TX
546,studio,557.0,Hickman County,TN
547,1br,1036.0,Carroll County,GA
548,studio,1280.0,Travis County,TX
549,4br,1836.0,Radford city,VA
550,2br,901.0,Oklahoma County,OK
551,2br,2292.0,Contra Costa County,
552,3br,1491.0,Harris County,TX
553,studio,616.0,St. Charles County,MO
554,2br,2020.0,Queens County,
555,2br,2540.0,San Diego County,CA
556,2br,1457.0,Dougylas County,CO
557,,3014.0,District of Columbia,DC
558,,592.0,Beaufort County,NC
559,4br,1405.0,St. Charles County,MO
560,4br,1606.0,St. Louis County,MO
561,1br,987.0,Tarrant County,TX
562,4br,1331.0,Scotland County,NC
563,studio,544.0,Hamilton County,TN
564,3br,1608.0,Harris County,TX
565,4br,1303.0,Porter County,IN
566,1br,1237.0,Middlesex County,NJ
567,4br,1641.0,Montgomery County,AL
568,2br,836.0,Iberville Parish,
569,1br,1102.0,York County,SC
570,4br,1011.0,Washington County,MS
571,studio,482.0,Robeson County,NC
572,,1327.0,Lehigh County,PA
573,studio,635.0,Lake County,IN
574,3br,1325.0,Gwinnett County,GA
575,,2242.0,Suffolk County,NY
576,studio,649.0,Howard County,IN
577,studio,672.0,Monroe County,IN
578,3br,1588.0,Weber County,UT
579,4br,1024.0,Erie County,
580,3br,2530.0,Middlesex County,NJ
581,1br,912.0,Stanislaus County,CA
582,2br,934.0,Clark County,NV
583,1br,598.0,Hidalgo County,
584,1br,712.0,Tehama County,CA
585,2br,1780.0,Kings County,NY
586,2br,728.0,Kay County,OK
587,,1097.0,Allegheny County,
588,1br,993.0,Jefferson County,
589,1br,2196.0,Westchester County,NY
590,studio,1011.0,Okaloosa County,FL
591,3br,1389.0,Coos County,OR
592,1br,1462.0,Broomfield County,CO
593,4br,2540.0,Westchester County,NY
594,studio,736.0,Clark County,NV
595,3br,1297.0,Valencia County,NM
596,4br,2973.0,Nassau County,NY
597,2br,807.0,Crow Wing County,MN
598,4br,2420.0,Seminole County,FL
599,2br,840.0,Androscoggin County,ME
600,4br,3060.0,Los Angeles County,
601,,821.0,Duval County,FL
602,3br,1158.0,Perry County,AR
603,2br,1067.0,Duval County,FL
604,2br,2433.0,Santa Barbara County,CA
605,2br,2353.0,Bronx County,NY
606,studio,1143.0,Broward County,FL
607,2br,1430.0,Pasco County,
608,studio,1263.0,Jefferson County,CO
609,1br,1172.0,Dorchester County,SC
610,1br,1105.0,Sacramento County,CA
611,3br,806.0,Porter County,IN
612,1br,988.0,Harris County,TX
613,3br,3730.0,Snata Clara County,CA
614,,2283.0,New York County,NY
615,2br,763.0,Evangeline Parish,LA
616,3br,1155.0,Iredell County,NC
617,2br,1137.0,York County,PA
618,2br,744.0,Allen County,IN
619,,1909.0,Contra Costa County,CA
620,1br,644.0,Plumas County,CA
621,2br,1515.0,Hartford kounty,CT
622,1br,580.0,Hamilton County,OH
623,studio,1404.0,Los Angeles County,CA
624,studio,668.0,Blaine County,ID
625,3br,1730.0,DuPage County,IL
626,2br,1246.0,Riverside County,CA
627,2br,1133.0,Wayne County,
628,4br,1668.0,Kern County,CA
629,,1161.0,Sacramento County,CA
630,2br,1521.0,Miami-Dade County,FL
631,4br,2312.0,Hays County,TX
632,,2583.0,Williamson County,TX
633,4br,2583.0,Los Angeles County,CA
634,3br,2947.0,Suffolk County,NY
635,2br,667.0,Surry County,NC
636,1br,1042.0,DuPage County,IL
637,1br,1419.0,Arapahoe County,CO
638,4br,2710.0,Dallas County,TX
639,,942.0,Harris County,TX
640,3br,1186.0,Rock County,WI
641,1br,537.0,Hopkins County,KY
642,4br,1526.0,Baldwin County,AL
643,4br,1743.0,Kittitas County,WA
644,,461.0,Adair County,
645,2br,699.0,Clinton County,OH
646,2br,1791.0,Miami-Dade County,FL
647,1br,1695.0,Los Angeles County,CA
648,3br,1178.0,Winnebago County,WI
649,1br,974.0,Fort Bend County,TX
650,2br,898.0,Bexar County,TX
651,studio,1906.0,Westchester County,NY
652,studio,1048.0,Wilson County,TN
653,studio,1361.0,Los Angeles County,CA
654,4br,1325.0,Ellis County,KS
655,studio,608.0,Yellowstone County,MT
656,1br,884.0,Washington County,NY
657,1br,1098.0,San Bernardino County,CA
658,2br,900.0,Texas County,OK
659,2br,1390.0,Harris County,TX
660,4br,1279.0,Ellis County,KS
661,3br,1.56,Montgomery County,
662,3br,1041.0,Luzerne County,PA
663,4br,1661.0,Knox County,TN
664,,1159.0,Ottawa County,OH
665,2br,1008.0,Jackson County,MO
666,2br,1477.0,Collin ounty,TX
667,4br,865.0,Audrain County,
668,2br,1828.0,Broward County,FL
669,,800.0,Door County,WI
670,4br,4397.0,Santa Cruz County,CA
671,studio,922.0,Washington County,RI
672,3br,1846.0,Sherburne County,MN
673,2br,1700.0,Prince William County,VA
674,4br,5668.0,San Mateo County,CA
675,4br,1462.0,Sedgwick County,KS
676,studio,1387.0,Washington County,OR
677,1br,1062.0,Volusia County,FL
678,,3360.0,Norfolk County,MA
679,1br,796.0,Humboldt County,CA
680,4br,1514.0,Madison County,IL
681,3br,1103.0,Russell County,AL
682,1br,1004.0,Tarrant County,TX
683,3br,2926.0,King County,WA
684,1br,563.0,Martin County,
685,1br,664.0,St. Joseph County,IN
686,2br,1113.0,Harris County,TX
687,3br,1062.0,Ionia County,MI
688,3br,1179.0,Licking County,OH
689,3br,2073.0,Hawaii County,HI
690,3br,865.0,Ware County,GA
691,,1242.0,Chautauqua County,KS
692,studio,702.0,Sumter County,FL
693,2br,2128.0,Suffolk County,NY
694,4br,2105.0,Essex County,NJ
695,4br,4109.0,Contra Costa County,
696,2br,1585.0,Monmouth County,NJ
697,2br,1147.0,Hillsborough County,FL
698,4br,1478.0,Marion County,IN
699,studio,760.0,Douglas County,NE
700,studio,2211.0,Santa Cruz County,CA
701,4br,1454.0,Bell County,TX
702,2br,1116.0,Harris County,TX
703,4br,1559.0,Franklin County,OH
704,1br,654.0,Shast County,CA
705,studio,1124.0,San Bernardino County,CA
706,1br,794.0,Hampden County,MA
707,2br,572.0,Bleckley County,GA
708,3br,2327.0,Broward County,FL
709,,1507.0,Lancaster County,PA
710,4br,1642.0,Davis County,UT
711,2br,1117.0,Montgomery County,TX
712,studio,517.0,Yuma County,AZ
713,4br,2562.0,Passaic County,NJ
714,studio,569.0,Elk County,KS
715,3br,1948.0,Baltimore city,
716,3br,3737.0,Santa Cruz County,CA
717,1br,1674.0,Nassau County,NY
718,,735.0,Porter County,IN
719,4br,2756.0,New York County,NY
720,2br,850.0,Pulaski County,AR
721,2br,702.0,Clay County,NE
722,1br,650.0,Shelby County,KY
723,4br,2103.0,Collier County,FL
724,1br,1862.0,San Diego County,CA
725,1br,2050.0,New York County,NY
726,3br,1808.0,Cook County,IL
727,2br,822.0,Lauderdale County,
728,studio,609.0,Le Flore County,OK
729,4br,3247.0,Los Angeles County,CA
730,4br,2062.0,Montgomery County,PA
731,1br,838.0,Wyandotte County,KS
732,3br,1179.0,Tuscaloosa County,AL
733,studio,962.0,Riverside County,
734,2br,2132.0,Suffolk County,NY
735,1br,769.0,Waukesha County,WI
736,2br,1125.0,Jefferson County,
737,studio,980.0,Hays County,TX
738,1br,876.0,Philadelphia County,PA
739,,1649.0,Douglas County,NE
740,4br,2410.0,Sarasota County,FL
741,studio,713.0,Milwaukee County,WI
742,studio,700.0,Gregg County,TX
743,2br,749.0,St. Joseph County,MI
744,,1232.0,Coconino Caunty,AZ
745,2br,803.0,Christian County,MO
746,4br,4889.0,Santa Clara County,CA
